state,city,department,url,addedAt
OH,Cincinnati,Cincinnati Police Department,https://www.cincinnati-oh.gov/police,2025-11-04T04:11:59.227Z
IA,Cedar Rapids,Cedar Rapids Police Department,https://www.cedar-rapids.org/local_government/departments_g_-_v/police/index.php,2025-11-08T06:13:58.585Z
MN,Minneapolis,Minneapolis Police Department,https://www.minneapolis.gov/police,2025-11-08T06:20:48.641Z
NEW YORK,New York,New York Police Department,,2025-11-23T00:40:46.136Z
IL,Chicago,Chicago Police Department,https://home.chicagopolice.org,2025-11-23T00:52:53.877Z
