id,name,city,state,badgeNumber,department,addedAt
teresa_theetge_cincinnati_oh,Teresa Theetge,Cincinnati,OH,,Cincinnati Police Department,2025-11-04T04:11:59.221Z
mark_warburton_cedar_rapids_ia,Mark Warburton,Cedar Rapids,IA,,Cedar Rapids Police Department,2025-11-08T06:13:58.575Z
derek_chauvin_minneapolis_mn,Derek Chauvin,Minneapolis,MN,,Minneapolis Police Department,2025-11-08T06:20:48.634Z
john_smith_new_york_new_york,John Smith,New York,NEW YORK,,New York Police Department,2025-11-23T00:40:46.133Z
john_smith_chicago_il,John Smith,Chicago,IL,,Chicago Police Department,2025-11-23T00:52:53.873Z
